,체결시각,체결가,전일비,매도,매수,거래량,변동량,DATE
0,10:00,64600.0,800.0,64600.0,64500.0,159499.0,159499.0,20201203
1,10:00,64600.0,800.0,64600.0,64500.0,159499.0,159499.0,20201203
2,10:00,64600.0,800.0,64600.0,64500.0,159499.0,159499.0,20201203
3,10:00,64600.0,800.0,64600.0,64500.0,159499.0,159499.0,20201203
4,10:01,64800.0,1000.0,64800.0,64700.0,207683.0,48184.0,20201203
5,10:02,64900.0,1100.0,64900.0,64800.0,253949.0,46266.0,20201203
6,10:03,64900.0,1100.0,64900.0,64800.0,298339.0,44390.0,20201203
7,10:04,64900.0,1100.0,64900.0,64800.0,340100.0,41761.0,20201203
8,10:05,64600.0,800.0,64800.0,64700.0,438355.0,98255.0,20201203
9,10:06,64500.0,700.0,64500.0,64400.0,490411.0,52056.0,20201203
10,10:07,64500.0,700.0,64600.0,64500.0,520911.0,30500.0,20201203
11,10:08,64700.0,900.0,64700.0,64600.0,548930.0,28019.0,20201203
12,10:09,64700.0,900.0,64700.0,64600.0,572557.0,23627.0,20201203
13,10:10,64700.0,900.0,64700.0,64600.0,587256.0,14699.0,20201203
14,10:11,64600.0,800.0,64600.0,64500.0,629313.0,42057.0,20201203
15,10:12,64400.0,600.0,64500.0,64400.0,719999.0,90686.0,20201203
16,10:13,64200.0,400.0,64300.0,64200.0,757309.0,37310.0,20201203
17,10:14,64000.0,200.0,64100.0,64000.0,794155.0,36846.0,20201203
18,10:15,63900.0,100.0,64000.0,63900.0,873580.0,79425.0,20201203
19,10:16,64100.0,300.0,64100.0,64000.0,918422.0,44842.0,20201203
20,10:17,64300.0,500.0,64300.0,64200.0,941896.0,23474.0,20201203
21,10:18,64300.0,500.0,64300.0,64200.0,951978.0,10082.0,20201203
22,10:19,64300.0,500.0,64300.0,64200.0,967173.0,15195.0,20201203
23,10:20,64400.0,600.0,64400.0,64300.0,983008.0,15835.0,20201203
24,10:21,64400.0,600.0,64400.0,64300.0,990051.0,7043.0,20201203
25,10:22,64300.0,500.0,64400.0,64300.0,997070.0,7019.0,20201203
26,10:23,64400.0,600.0,64400.0,64300.0,1005587.0,8517.0,20201203
27,10:24,64400.0,600.0,64400.0,64300.0,1022197.0,16610.0,20201203
28,10:25,64400.0,600.0,64500.0,64400.0,1032968.0,10771.0,20201203
29,10:26,64400.0,600.0,64500.0,64400.0,1042809.0,9841.0,20201203
30,10:27,64500.0,700.0,64500.0,64400.0,1057409.0,14600.0,20201203
31,10:28,64500.0,700.0,64500.0,64400.0,1066739.0,9330.0,20201203
32,10:29,64500.0,700.0,64500.0,64400.0,1079126.0,12387.0,20201203
33,10:30,64500.0,700.0,64600.0,64500.0,1107784.0,28658.0,20201203
34,10:31,64600.0,800.0,64600.0,64500.0,1116513.0,8729.0,20201203
35,10:32,64600.0,800.0,64600.0,64500.0,1126572.0,10059.0,20201203
36,10:33,64500.0,700.0,64600.0,64500.0,1132518.0,5946.0,20201203
37,10:34,64600.0,800.0,64600.0,64500.0,1138902.0,6384.0,20201203
38,10:35,64600.0,800.0,64600.0,64500.0,1146394.0,7492.0,20201203
39,10:36,64600.0,800.0,64600.0,64500.0,1155545.0,9151.0,20201203
40,10:37,64500.0,700.0,64600.0,64500.0,1164565.0,9020.0,20201203
41,10:38,64600.0,800.0,64600.0,64500.0,1171841.0,7276.0,20201203
42,10:39,64500.0,700.0,64600.0,64500.0,1181677.0,9836.0,20201203
43,10:40,64500.0,700.0,64600.0,64500.0,1188884.0,7207.0,20201203
44,10:41,64600.0,800.0,64600.0,64500.0,1198384.0,9500.0,20201203
45,10:42,64500.0,700.0,64600.0,64500.0,1204331.0,5947.0,20201203
46,10:43,64600.0,800.0,64600.0,64500.0,1208861.0,4530.0,20201203
47,10:44,64600.0,800.0,64600.0,64500.0,1215633.0,6772.0,20201203
48,10:45,64500.0,700.0,64600.0,64500.0,1221501.0,5868.0,20201203
49,10:46,64600.0,800.0,64600.0,64500.0,1229803.0,8302.0,20201203
50,10:47,64600.0,800.0,64600.0,64500.0,1235758.0,5955.0,20201203
51,10:48,64600.0,800.0,64600.0,64500.0,1246518.0,10760.0,20201203
52,10:49,64600.0,800.0,64600.0,64500.0,1253066.0,6548.0,20201203
53,10:50,64700.0,900.0,64700.0,64600.0,1260054.0,6988.0,20201203
54,10:51,64600.0,800.0,64700.0,64600.0,1266885.0,6831.0,20201203
55,10:52,64600.0,800.0,64700.0,64600.0,1274377.0,7492.0,20201203
56,10:53,64600.0,800.0,64700.0,64600.0,1285070.0,10693.0,20201203
57,10:54,64700.0,900.0,64700.0,64600.0,1294578.0,9508.0,20201203
58,10:55,64700.0,900.0,64700.0,64600.0,1310678.0,16100.0,20201203
59,10:56,64600.0,800.0,64600.0,64500.0,1344681.0,34003.0,20201203
60,10:57,64600.0,800.0,64600.0,64500.0,1353871.0,9190.0,20201203
61,10:58,64500.0,700.0,64600.0,64500.0,1358303.0,4432.0,20201203
62,10:59,64500.0,700.0,64600.0,64500.0,1362047.0,3744.0,20201203
63,11:00,64500.0,700.0,64600.0,64500.0,1366863.0,4816.0,20201203
64,11:01,64600.0,800.0,64600.0,64500.0,1370956.0,4093.0,20201203
65,11:02,64500.0,700.0,64600.0,64500.0,1381059.0,10103.0,20201203
66,11:03,64600.0,800.0,64600.0,64500.0,1385334.0,4275.0,20201203
67,11:04,64500.0,700.0,64600.0,64500.0,1391379.0,6045.0,20201203
68,11:05,64600.0,800.0,64600.0,64500.0,1396148.0,4769.0,20201203
69,11:06,64600.0,800.0,64600.0,64500.0,1402928.0,6780.0,20201203
70,11:07,64500.0,700.0,64600.0,64500.0,1424061.0,21133.0,20201203
71,11:08,64600.0,800.0,64600.0,64500.0,1429467.0,5406.0,20201203
72,11:09,64500.0,700.0,64600.0,64500.0,1434271.0,4804.0,20201203
73,11:10,64500.0,700.0,64600.0,64500.0,1439393.0,5122.0,20201203
74,11:11,64500.0,700.0,64600.0,64500.0,1443985.0,4592.0,20201203
75,11:12,64600.0,800.0,64600.0,64500.0,1446991.0,3006.0,20201203
76,11:13,64600.0,800.0,64600.0,64500.0,1488548.0,41557.0,20201203
77,11:14,64600.0,800.0,64600.0,64500.0,1494864.0,6316.0,20201203
78,11:15,64600.0,800.0,64600.0,64500.0,1498597.0,3733.0,20201203
