,company,code
268,진도,088790
269,코오롱인더,120110
270,키다리스튜디오,020120
271,태경산업,015890
272,태양금속공업,004100
273,포스코강판,058430
274,필룩스,033180
275,한국공항,005430
276,한국종합기술,023350
277,한국패러랠,168490
278,한라홀딩스,060980
279,한미약품,128940
280,한솔로지스틱스,009180
281,한일철강,002220
282,한일현대시멘트,006390
283,한창제지,009460
284,한화생명,088350
285,한화시스템,272210
286,현대건설,000720
287,현대건설기계,267270
288,현대모비스,012330
289,현대비앤지스틸,004560
290,현대엘리베이터,017800
291,현대차증권,001500
292,현대홈쇼핑,057050
293,호전실업,111110
294,CJ프레시웨이,051500
295,EDGC,245620
296,GST,083450
297,GS홈쇼핑,028150
298,IBKS제13호스팩,351340
299,ITX-AI,099520
300,JW신약,067290
301,KB오토시스,024120
302,KH바텍,060720
303,KPX생명과학,114450
304,SK5호스팩,337450
305,SK6호스팩,340350
306,TJ미디어,032540
307,YW,051390
308,경창산업,024910
309,고려시멘트,198440
310,골프존,215000
311,교보8호스팩,307280
312,국순당,043650
313,그리티,204020
314,나노브릭,286750
315,나스미디어,089600
316,네오티스,085910
317,네이처셀,007390
318,녹십자셀,031390
319,뉴인텍,012340
320,뉴프렉스,085670
321,대봉엘에스,078140
322,대유,290380
323,대유에이피,290120
324,대주산업,003310
325,대한약품,023910
326,동구바이오제약,006620
327,동방선기,099410
328,디에이테크놀로지,196490
329,디에이피,066900
330,디엔에이링크,127120
331,디엔에프,092070
332,디오,039840
333,디오스텍,196450
334,디지탈옵틱,106520
335,디지틀조선,033130
336,룽투코리아,060240
337,링크제니시스,219420
338,메디톡스,086900
339,메이슨캐피탈,021880
340,메탈라이프,327260
341,모비스,250060
342,모트렉스,118990
343,미래SCI,028040
344,미스터블루,207760
345,미코바이오메드,214610
346,바디텍메드,206640
347,바이넥스,053030
348,브랜드엑스코퍼레이션,337930
349,삼보판지,023600
350,삼본전자,111870
351,삼아제약,009300
352,상지카일룸,042940
353,서암기계공업,100660
354,성창오토텍,080470
355,세보엠이씨,011560
356,세종메디칼,258830
357,세코닉스,053450
358,셀루메드,049180
359,셀바스헬스케어,208370
360,셀트리온제약,068760
361,스튜디오산타클로스,204630
362,스페코,013810
363,승일,049830
364,시스웍,269620
365,심텍,222800
366,쌍용정보통신,010280
367,씨케이에이치,900120
368,아나패스,123860
369,아바텍,149950
370,아이센스,099190
371,아이씨디,040910
372,아이씨케이,068940
373,아이오케이,078860
374,아이원스,114810
375,아이즈비전,031310
376,아이티센,124500
377,알리코제약,260660
378,알에프세미,096610
379,알에프텍,061040
380,애니플러스,310200
381,에스아이리소스,065420
382,에스에너지,095910
383,에스코넥,096630
384,에쎈테크,043340
385,에이루트,096690
386,에이티넘인베스트,021080
387,엑세스바이오,950130
388,엑시콘,092870
389,엔피케이,048830
390,엠게임,058630
391,엠벤처투자,019590
392,엠씨넥스,097520
393,영화테크,265560
394,오공,045060
395,오스템임플란트,048260
396,오픈베이스,049480
397,옵티시스,109080
398,와이지-원,019210
399,우리바이오,082850
400,원익QnC,074600
401,원익큐브,014190
402,원풍물산,008290
403,웨이브일렉트로,095270
404,웰크론,065950
405,유니온커뮤니티,203450
406,유니테크노,241690
407,유비쿼스홀딩스,078070
408,유신,054930
409,유안타제5호스팩,336060
410,유진스팩5호,331380
411,유테크,178780
412,유티아이,179900
413,이스트소프트,047560
414,이스트아시아홀딩스,900110
415,이엠넷,123570
416,이지바이오,353810
417,이지웰,090850
418,인베니아,079950
419,인텍플러스,064290
420,자비스,254120
421,자이글,234920
422,장원테크,174880
423,정상제이엘에스,040420
424,제우스,079370
425,제이엠티,094970
426,제이웨이,058420
427,제일제강,023440
428,제주반도체,080220
429,젬백스,082270
430,조아제약,034940
431,주성엔지니어링,036930
432,지엔씨에너지,119850
433,지엔코,065060
434,캐스텍코리아,071850
435,케이비제20호스팩,342550
436,케이피엠테크,042040
437,케이피티유,054410
438,켄코아에어로스페이스,274090
439,코렌,078650
440,코윈테크,282880
441,코프라,126600
442,키네마스터,139670
443,토탈소프트,045340
444,투비소프트,079970
445,트루윈,105550
446,특수건설,026150
447,티앤알바이오팹,246710
448,티에스이,131290
449,파세코,037070
450,파커스,065690
451,패션플랫폼,225590
452,푸드웰,005670
453,프로스테믹스,203690
454,피델릭스,032580
455,피에스엠씨,024850
456,하나금융15호스팩,341160
457,하이즈항공,221840
458,한국맥널티,222980
459,한국코퍼레이션,050540
460,한양디지텍,078350
461,한일진공,123840
462,한일화학,007770
463,해덕파워웨이,102210
464,현대바이오,048410
465,화성밸브,039610
466,휴맥스,115160
467,휴온스글로벌,084110
468,나눔테크,244880
469,다원넥스뷰,323350
470,다이노나,086080
471,다이오진,271850
472,선바이오,067370
473,씨앗,103660
474,아이피몬스터,223220
475,에스알바이오텍,270210
476,엘리비젼,276240
477,유투바이오,221800
478,이도바이오,336040
479,전우정밀,120780
480,지놈앤컴퍼니,314130
481,진코스텍,250030
482,큐엠씨,136660
483,폭스소프트,354230
484,LG종금,008810
485,거북선4호,108890
486,경남에너지,008020
487,경동산업,002940
488,경일화학공업,028580
489,고려개발,004200
490,국민은행_(합병전),023130
491,금강피혁,013040
492,금성투자금융,028450
493,기린,006070
494,기산,011470
495,남양소금,029060
